"model","framework","seconds"
"Occupancy","JAGS",0.974000000000004
"Occupancy","JAGS",0.963999999999999
"Occupancy","JAGS",0.953000000000003
"Occupancy","JAGS",0.951999999999998
"Occupancy","JAGS",1.023
"Occupancy","JAGS",0.926999999999992
"Occupancy","JAGS",0.972999999999999
"Occupancy","JAGS",0.924000000000007
"Occupancy","JAGS",0.968000000000004
"Occupancy","JAGS",1.00800000000001
"Occupancy","JAGS",0.995999999999995
"Occupancy","JAGS",1.032
"Occupancy","JAGS",0.971000000000004
"Occupancy","JAGS",0.962000000000003
"Occupancy","JAGS",1.01400000000001
"Occupancy","JAGS",1.01600000000001
"Occupancy","JAGS",0.960000000000008
"Occupancy","JAGS",0.961000000000013
"Occupancy","JAGS",0.986000000000004
"Occupancy","JAGS",0.963000000000008
"Occupancy","JAGS",0.984999999999999
"Occupancy","JAGS",1.042
"Occupancy","JAGS",1.00200000000001
"Occupancy","JAGS",0.978999999999999
"Occupancy","JAGS",1.041
"Occupancy","JAGS",1.00399999999999
"Occupancy","JAGS",0.995000000000005
"Occupancy","JAGS",0.980000000000018
"Occupancy","JAGS",0.973000000000013
"Occupancy","JAGS",0.979000000000013
"Occupancy","JAGS",0.959000000000003
"Occupancy","JAGS",1.00700000000001
"Occupancy","JAGS",1.00999999999999
"Occupancy","JAGS",1.00699999999998
"Occupancy","JAGS",0.936000000000007
"Occupancy","JAGS",0.950999999999993
"Occupancy","JAGS",0.945999999999998
"Occupancy","JAGS",0.963999999999999
"Occupancy","JAGS",0.961000000000013
"Occupancy","JAGS",0.923000000000002
"Occupancy","JAGS",0.963999999999999
"Occupancy","JAGS",0.908000000000015
"Occupancy","JAGS",0.965000000000003
"Occupancy","JAGS",0.937999999999988
"Occupancy","JAGS",0.950999999999993
"Occupancy","JAGS",0.962999999999994
"Occupancy","JAGS",0.971000000000004
"Occupancy","JAGS",1.023
"Occupancy","JAGS",1.01499999999999
"Occupancy","JAGS",1.02099999999999
"Occupancy","JAGS",0.984000000000009
"Occupancy","JAGS",1.03899999999999
"Occupancy","JAGS",0.944999999999993
"Dynamic Occupancy","RTMB",0.04
"Dynamic Occupancy","RTMB",0.032
"Dynamic Occupancy","RTMB",0.0289999999999999
"Dynamic Occupancy","RTMB",0.0310000000000024
"Dynamic Occupancy","RTMB",0.0269999999999975
"Dynamic Occupancy","RTMB",0.0289999999999999
"Dynamic Occupancy","RTMB",0.0279999999999987
"Dynamic Occupancy","RTMB",0.0290000000000035
"Dynamic Occupancy","RTMB",0.0300000000000011
"Dynamic Occupancy","RTMB",0.0320000000000036
"Dynamic Occupancy","RTMB",0.027000000000001
"Dynamic Occupancy","RTMB",0.0279999999999987
"Dynamic Occupancy","RTMB",0.0290000000000106
"Dynamic Occupancy","RTMB",0.0279999999999916
"Dynamic Occupancy","RTMB",0.0279999999999916
"Dynamic Occupancy","RTMB",0.0280000000000058
"Dynamic Occupancy","RTMB",0.0289999999999964
"Dynamic Occupancy","RTMB",0.0300000000000011
"Dynamic Occupancy","RTMB",0.0289999999999964
"Dynamic Occupancy","RTMB",0.0300000000000011
"Dynamic Occupancy","RTMB",0.0280000000000058
"Dynamic Occupancy","RTMB",0.0289999999999964
"Dynamic Occupancy","RTMB",0.0280000000000058
"Dynamic Occupancy","RTMB",0.0300000000000011
"Dynamic Occupancy","RTMB",0.0319999999999965
"Dynamic Occupancy","RTMB",0.0289999999999964
"Dynamic Occupancy","RTMB",0.0310000000000059
"Dynamic Occupancy","RTMB",0.0300000000000011
"Dynamic Occupancy","RTMB",0.0310000000000059
"Dynamic Occupancy","RTMB",0.0310000000000059
"Dynamic Occupancy","RTMB",0.0310000000000059
"Dynamic Occupancy","RTMB",0.0289999999999964
"Dynamic Occupancy","RTMB",0.02800000000002
"Dynamic Occupancy","RTMB",0.0320000000000107
"Dynamic Occupancy","RTMB",0.0289999999999964
"Dynamic Occupancy","RTMB",0.0279999999999916
"Dynamic Occupancy","RTMB",0.0270000000000152
"Dynamic Occupancy","RTMB",0.0300000000000011
"Dynamic Occupancy","RTMB",0.0279999999999916
"Dynamic Occupancy","RTMB",0.0289999999999964
"Dynamic Occupancy","RTMB",0.0290000000000248
"Dynamic Occupancy","RTMB",0.0330000000000155
"Dynamic Occupancy","RTMB",0.0279999999999916
"Dynamic Occupancy","RTMB",0.0279999999999916
"Dynamic Occupancy","RTMB",0.02800000000002
"Dynamic Occupancy","RTMB",0.0279999999999916
"Dynamic Occupancy","RTMB",0.0290000000000248
"Dynamic Occupancy","RTMB",0.02800000000002
"Dynamic Occupancy","RTMB",0.0309999999999775
"Dynamic Occupancy","RTMB",0.0320000000000107
"Dynamic Occupancy","RTMB",0.032999999999987
"Dynamic Occupancy","RTMB",0.0300000000000011
"Dynamic Occupancy","RTMB",0.0300000000000296
"Dynamic Occupancy","RTMB",0.0270000000000437
"Dynamic Occupancy","RTMB",0.02800000000002
"Dynamic Occupancy","RTMB",0.0279999999999632
"Dynamic Occupancy","RTMB",0.0289999999999964
"Dynamic Occupancy","RTMB",0.0279999999999632
"Dynamic Occupancy","RTMB",0.0300000000000296
"Dynamic Occupancy","RTMB",0.0310000000000059
"Dynamic Occupancy","RTMB",0.0279999999999632
"Dynamic Occupancy","RTMB",0.0279999999999632
"Dynamic Occupancy","RTMB",0.0310000000000059
"Dynamic Occupancy","RTMB",0.0290000000000532
"Dynamic Occupancy","RTMB",0.0300000000000296
"Dynamic Occupancy","RTMB",0.02800000000002
"Dynamic Occupancy","RTMB",0.02800000000002
"Dynamic Occupancy","RTMB",0.0300000000000296
"Dynamic Occupancy","RTMB",0.0279999999999632
"Dynamic Occupancy","RTMB",0.0320000000000391
"Dynamic Occupancy","RTMB",0.02800000000002
"Dynamic Occupancy","RTMB",0.0319999999999823
"Dynamic Occupancy","RTMB",0.0289999999999964
"Dynamic Occupancy","RTMB",0.0279999999999632
"Dynamic Occupancy","RTMB",0.0339999999999918
"Dynamic Occupancy","RTMB",0.0269999999999868
"Dynamic Occupancy","RTMB",0.02800000000002
"Dynamic Occupancy","RTMB",0.0289999999999964
"Dynamic Occupancy","RTMB",0.02800000000002
"Dynamic Occupancy","RTMB",0.0310000000000059
"Dynamic Occupancy","RTMB",0.0289999999999964
"Dynamic Occupancy","RTMB",0.0300000000000296
"Dynamic Occupancy","RTMB",0.02800000000002
"Dynamic Occupancy","RTMB",0.02800000000002
"Dynamic Occupancy","RTMB",0.0310000000000059
"Dynamic Occupancy","RTMB",0.0299999999999727
"Dynamic Occupancy","RTMB",0.0310000000000059
"Dynamic Occupancy","RTMB",0.0289999999999964
"Dynamic Occupancy","RTMB",0.02800000000002
"Dynamic Occupancy","RTMB",0.0279999999999632
"Dynamic Occupancy","RTMB",0.02800000000002
"Dynamic Occupancy","RTMB",0.0289999999999964
"Dynamic Occupancy","RTMB",0.0299999999999727
"Dynamic Occupancy","RTMB",0.02800000000002
"Dynamic Occupancy","RTMB",0.0310000000000059
"Dynamic Occupancy","RTMB",0.0310000000000059
"Dynamic Occupancy","RTMB",0.0289999999999964
"Dynamic Occupancy","RTMB",0.02800000000002
"Dynamic Occupancy","RTMB",0.0279999999999632
"Dynamic Occupancy","RTMB",0.02800000000002
"Dynamic Occupancy","unmarked",0.048
"Dynamic Occupancy","unmarked",0.0510000000000002
"Dynamic Occupancy","unmarked",0.0280000000000005
"Dynamic Occupancy","unmarked",0.0300000000000011
"Dynamic Occupancy","unmarked",0.0330000000000013
"Dynamic Occupancy","unmarked",0.0340000000000025
"Dynamic Occupancy","unmarked",0.0300000000000011
"Dynamic Occupancy","unmarked",0.027000000000001
"Dynamic Occupancy","unmarked",0.027000000000001
"Dynamic Occupancy","unmarked",0.0279999999999987
"Dynamic Occupancy","unmarked",0.0300000000000011
"Dynamic Occupancy","unmarked",0.027000000000001
"Dynamic Occupancy","unmarked",0.027000000000001
"Dynamic Occupancy","unmarked",0.0300000000000011
"Dynamic Occupancy","unmarked",0.0280000000000058
"Dynamic Occupancy","unmarked",0.0280000000000058
"Dynamic Occupancy","unmarked",0.0289999999999964
"Dynamic Occupancy","unmarked",0.0280000000000058
"Dynamic Occupancy","unmarked",0.027000000000001
